Age,Total_Purchase,Account_Manager,Years,Num_Sites,Churn
42.0,11066.8,0,7.22,8.0,1
41.0,11916.22,0,6.5,11.0,1
38.0,12884.75,0,6.67,12.0,1
42.0,8010.76,0,6.71,10.0,1
37.0,9191.58,0,5.56,9.0,1
48.0,10356.02,0,5.12,8.0,1
44.0,11331.58,1,5.23,11.0,1
32.0,9885.12,1,6.92,9.0,1
43.0,14062.6,1,5.46,11.0,1
40.0,8066.94,1,7.11,11.0,1
30.0,11575.37,1,5.22,8.0,1
45.0,8771.02,1,6.64,11.0,1
45.0,8988.67,1,4.84,11.0,1
40.0,8283.32,1,5.1,13.0,1
41.0,6569.87,1,4.3,11.0,1
38.0,10494.82,1,6.81,12.0,1
45.0,8213.41,1,7.35,11.0,1
43.0,11226.88,0,8.08,12.0,1
53.0,5515.09,0,6.85,8.0,1
46.0,8046.4,1,5.69,8.0,1
41.0,9771.22,0,5.81,11.0,1
56.0,12217.95,1,5.79,11.0,1
35.0,9381.12,1,6.78,11.0,1
41.0,10474.94,0,6.4,12.0,1
55.0,11158.5,1,4.86,10.0,1
54.0,8207.1,0,4.26,11.0,1
35.0,12403.81,0,4.42,11.0,1
40.0,10041.13,0,7.61,11.0,1
44.0,12721.55,0,5.18,11.0,1
37.0,8284.89,1,5.6,10.0,1
54.0,10661.48,1,5.16,8.0,1
45.0,10793.11,1,4.65,10.0,1
46.0,9322.44,1,2.69,11.0,1
44.0,9814.22,1,5.45,12.0,1
48.0,11740.0,1,4.97,11.0,1
37.0,14383.36,0,7.84,10.0,1
38.0,11887.39,0,5.83,12.0,1
48.0,10367.08,1,6.45,12.0,1
37.0,8198.06,1,5.04,12.0,1
41.0,7777.37,0,4.81,12.0,1
41.0,11699.26,0,6.99,12.0,1
55.0,16838.94,1,6.66,8.0,1
36.0,10484.33,1,8.84,10.0,1
37.0,8736.06,1,5.51,12.0,1
50.0,10850.78,1,5.63,9.0,1
43.0,8601.01,0,5.65,12.0,1
45.0,11170.06,1,7.76,10.0,1
40.0,11185.62,0,6.26,12.0,1
36.0,9793.42,0,5.98,9.0,1
43.0,12524.68,0,5.98,10.0,1
50.0,12682.9,0,4.58,10.0,1
44.0,14036.28,1,7.25,10.0,1
41.0,10179.92,1,5.97,10.0,1
46.0,12772.72,1,6.46,9.0,1
46.0,12122.19,0,7.53,11.0,1
40.0,9922.3,1,5.07,11.0,1
48.0,4771.65,0,3.77,12.0,1
42.0,10827.96,1,4.2,10.0,1
38.0,8642.01,1,4.76,11.0,1
45.0,6749.49,0,5.88,14.0,1
36.0,6447.99,1,5.52,11.0,1
44.0,11091.21,0,5.9,10.0,1
55.0,5024.52,0,8.11,9.0,1
58.0,12376.37,0,6.01,12.0,1
49.0,12458.8,0,5.04,9.0,1
47.0,7222.35,0,6.41,11.0,1
38.0,11758.69,0,6.97,11.0,1
55.0,8772.0,1,6.43,10.0,1
45.0,7351.38,0,5.76,11.0,1
30.0,7960.64,1,2.72,10.0,1
41.0,13365.66,1,8.36,9.0,1
32.0,8617.98,1,6.2,10.0,1
52.0,11849.13,0,6.8,11.0,1
37.0,11145.95,1,5.87,11.0,1
42.0,9577.42,0,5.86,11.0,1
39.0,10110.4,1,5.78,13.0,1
43.0,8024.08,0,4.08,12.0,1
52.0,8563.24,0,5.29,11.0,1
40.0,9403.58,1,6.01,9.0,1
38.0,12520.53,1,6.3,11.0,1
53.0,13655.59,1,2.05,10.0,1
41.0,12680.46,0,5.92,11.0,1
45.0,8429.65,1,7.1,10.0,1
44.0,11424.0,1,5.98,10.0,1
46.0,13725.55,0,5.09,9.0,1
47.0,7396.1,0,4.11,11.0,1
51.0,8100.43,1,4.92,13.0,1
43.0,10400.88,0,5.84,10.0,1
40.0,8625.96,1,6.27,13.0,1
41.0,5192.38,1,4.86,11.0,1
45.0,12455.38,0,3.26,11.0,1
49.0,10522.21,0,7.25,14.0,1
38.0,9624.18,0,5.53,12.0,1
37.0,11628.1,1,6.83,10.0,1
41.0,13190.3,1,7.38,10.0,1
49.0,13173.8,1,6.36,12.0,1
29.0,8688.17,1,5.7,9.0,1
40.0,11434.61,1,8.51,10.0,1
45.0,12309.39,1,4.57,11.0,1
30.0,10744.14,1,7.16,9.0,1
43.0,12104.25,0,5.86,7.0,1
45.0,11599.27,1,4.78,11.0,1
42.0,6635.19,0,6.68,11.0,1
51.0,10978.16,1,6.95,11.0,1
44.0,13743.27,0,7.8,11.0,1
43.0,10271.19,1,5.31,14.0,1
43.0,6715.23,0,4.16,8.0,1
50.0,10199.44,0,5.79,9.0,1
38.0,11386.56,0,8.82,9.0,1
49.0,12112.53,0,7.31,9.0,1
34.0,9228.84,1,5.29,12.0,1
36.0,6330.43,1,5.43,7.0,1
40.0,11611.51,1,5.64,14.0,1
37.0,8397.41,0,5.59,12.0,1
49.0,9714.47,0,5.7,9.0,1
51.0,11602.11,1,5.3,10.0,1
35.0,12871.79,0,4.64,12.0,1
41.0,9923.79,1,4.75,13.0,1
26.0,8787.39,1,5.42,11.0,1
46.0,12200.31,0,6.62,10.0,1
38.0,8825.87,1,8.97,10.0,1
44.0,8615.52,0,7.39,9.0,1
35.0,9766.95,1,4.59,13.0,1
36.0,11550.29,0,6.46,13.0,1
50.0,6244.75,0,4.64,11.0,1
45.0,9459.52,0,5.72,9.0,1
46.0,11222.48,0,4.92,9.0,1
38.0,14693.45,1,7.01,10.0,1
49.0,15005.43,1,5.27,12.0,1
42.0,10276.33,1,6.54,11.0,1
44.0,8474.11,0,6.61,14.0,1
47.0,8235.74,1,6.2,10.0,1
48.0,6495.01,1,5.57,12.0,1
45.0,8099.29,1,5.66,10.0,1
50.0,11775.75,1,4.83,10.0,1
39.0,8667.02,0,6.82,10.0,1
55.0,9000.31,1,6.78,10.0,1
50.0,14398.89,1,5.54,12.0,1
38.0,10863.05,1,5.59,11.0,1
38.0,7287.57,1,7.39,11.0,1
43.0,6992.09,1,6.84,11.0,1
39.0,6351.79,0,5.86,6.0,1
31.0,11297.57,1,6.23,10.0,1
52.0,7460.05,0,5.39,12.0,1
41.0,14429.41,1,5.51,11.0,1
34.0,12983.26,1,6.53,13.0,1
39.0,8801.86,1,4.43,10.0,1
58.0,9703.93,0,5.16,11.0,1
49.0,11177.08,0,4.44,12.0,1
41.0,8560.76,1,3.99,12.0,1
35.0,15571.26,0,6.45,9.0,0
39.0,10268.87,1,3.68,6.0,0
44.0,12328.03,1,4.6,9.0,0
52.0,9782.83,0,3.96,7.0,0
29.0,9378.24,0,4.93,8.0,0
37.0,10314.67,1,5.86,8.0,0
30.0,8403.78,1,4.13,7.0,0
46.0,5570.45,0,2.23,7.0,0
43.0,8042.76,0,4.95,8.0,0
44.0,10309.15,1,6.35,9.0,0
35.0,12357.31,0,5.03,10.0,0
47.0,11306.1,0,6.01,7.0,0
32.0,13630.93,0,4.38,10.0,0
36.0,12284.58,1,5.7,9.0,0
39.0,8930.49,1,5.71,10.0,0
43.0,10578.14,0,1.87,10.0,0
45.0,10364.82,0,5.93,5.0,0
33.0,7750.54,1,4.57,8.0,0
48.0,10963.5,1,5.89,9.0,0
32.0,12547.91,0,7.78,10.0,0
41.0,14069.41,1,1.62,10.0,0
44.0,9723.71,0,4.34,9.0,0
43.0,6298.75,1,4.51,9.0,0
35.0,12107.03,0,5.82,9.0,0
43.0,11674.12,0,2.88,8.0,0
56.0,12502.81,0,5.47,8.0,0
29.0,9617.59,0,5.49,8.0,0
36.0,13472.79,1,4.77,8.0,0
49.0,9805.7,0,4.86,9.0,0
31.0,11743.24,0,5.3,6.0,0
30.0,12788.37,0,4.31,10.0,0
40.0,5218.49,0,3.8,10.0,0
44.0,10526.18,0,7.67,9.0,0
